URAE,Municipio,Data Adesão,Populacao  Estimada,UGRHI
URAE 4 - NORTE,Patrocínio Paulista,08/04/23 15:52:55,14.512,08 - Sapucaí/Grande
URAE 2 - CENTRO,Piracicaba,07/20/23 15:17:59,423.323,05 - Piracicaba/Capivari/Jundiaí
URAE 4 - NORTE,Pirajuí,09/26/23 09:27:09,22.431,16 - Tietê/Batalha
URAE 4 - NORTE,Pitangueiras,06/24/24 08:49:58,33.674,09 - Mogi-Guaçu
URAE 4 - NORTE,Potirendaba,10/02/23 11:12:33,18.496,16 - Tietê/Batalha
URAE 4 - NORTE,Pradópolis,12/13/23 14:47:18,17.078,09 - Mogi-Guaçu
URAE 4 - NORTE,Promissão,10/06/23 14:00:00,35.131,19 - Baixo Tietê
URAE 2 - CENTRO,Rafard,07/26/23 15:14:00,8.965,05 - Piracicaba/Capivari/Jundiaí
URAE 4 - NORTE,Reginópolis,08/26/24 15:20:44,7.662,16 - Tietê/Batalha
URAE 2 - CENTRO,Ribeirão Bonito,12/12/23 14:22:02,10.989,13 - Tietê/Jacaré
URAE 4 - NORTE,Rincão,07/18/23 18:35:45,9.098,09 - Mogi-Guaçu
URAE 2 - CENTRO,Rinópolis,07/18/23 16:08:05,9.259,20 - Aguapeí
URAE 2 - CENTRO,Rio das Pedras,09/29/23 10:03:55,31.328,05 - Piracicaba/Capivari/Jundiaí
URAE 2 - CENTRO,Salto,10/06/23 15:41:03,134.319,05 - Piracicaba/Capivari/Jundiaí
URAE 2 - CENTRO,Salto Grande,01/02/24 09:15:46,9.050,17 - Médio Paranapanema
URAE 4 - NORTE,Santa Cruz da Conceição,09/19/23 09:09:51,4.277,09 - Mogi-Guaçu
URAE 4 - NORTE,Santo Antônio da Alegria,07/28/23 09:23:13,6.775,08 - Sapucaí/Grande
URAE 3 - LESTE,Santo Antônio de Posse,07/25/23 10:50:17,23.244,05 - Piracicaba/Capivari/Jundiaí
URAE 2 - CENTRO,São Carlos,08/23/24 10:14:32,254.857,13 - Tietê/Jacaré
URAE 4 - NORTE,São João de Iracema,07/18/23 21:33:24,1.846,18 - São José dos Dourados
URAE 4 - NORTE,São Joaquim da Barra,08/26/24 15:49:17,48.558,08 - Sapucaí/Grande
URAE 4 - NORTE,São José da Bela Vista,09/19/23 08:52:31,7.626,08 - Sapucaí/Grande
URAE 3 - LESTE,São José do Barreiro,09/15/23 10:40:27,3.853,02 - Paraíba do Sul
URAE 4 - NORTE,São José do Rio Pardo,08/01/23 08:38:11,52.205,04 - Pardo
URAE 2 - CENTRO,São Pedro,08/28/24 11:46:07,38.256,05 - Piracicaba/Capivari/Jundiaí
URAE 2 - CENTRO,São Pedro do Turvo,07/19/23 13:47:08,7.217,17 - Médio Paranapanema
URAE 4 - NORTE,São Simão,10/04/23 14:14:02,13.442,04 - Pardo
URAE 4 - NORTE,Serrana,08/29/24 11:04:02,43.909,04 - Pardo
URAE 4 - NORTE,Sertãozinho,02/09/24 14:58:37,126.887,09 - Mogi-Guaçu
URAE 4 - NORTE,Severínia,07/20/23 12:57:42,14.576,15 - Turvo/Grande
URAE 2 - CENTRO,Sorocaba,10/02/23 15:08:49,723.682,10 - Tietê/Sorocaba
URAE 4 - NORTE,Suzanápolis,07/19/23 13:41:57,3.408,18 - São José dos Dourados
URAE 4 - NORTE,Tabapuã,07/24/23 14:22:49,11.323,15 - Turvo/Grande
URAE 2 - CENTRO,Tabatinga,09/20/23 11:26:37,14.769,13 - Tietê/Jacaré
URAE 4 - NORTE,Tambaú,08/30/23 12:24:36,21.435,04 - Pardo
URAE 4 - NORTE,Taquaral,09/15/23 10:21:54,2.619,09 - Mogi-Guaçu
URAE 2 - CENTRO,Tupi Paulista,08/16/23 13:45:30,15.854,20 - Aguapeí
URAE 4 - NORTE,Uchoa,10/03/23 10:42:11,10.394,15 - Turvo/Grande
URAE 4 - NORTE,Urupês,08/10/23 14:44:51,13.744,16 - Tietê/Batalha
URAE 4 - NORTE,Vargem Grande do Sul,07/19/23 08:18:35,40.133,04 - Pardo
URAE 2 - CENTRO,Vera Cruz,09/23/23 19:02:13,10.176,20 - Aguapeí
URAE 3 - LESTE,Vinhedo,09/15/23 16:12:58,76.540,05 - Piracicaba/Capivari/Jundiaí
URAE 4 - NORTE,Viradouro,08/11/23 15:04:05,17.414,12 - Baixo Pardo/Grande
URAE 4 - NORTE,Vista Alegre do Alto,09/27/23 11:38:28,8.109,15 - Turvo/Grande
URAE 4 - NORTE,Votuporanga,08/22/24 15:04:06,96.634,15 - Turvo/Grande
